Date,Time,Season,Comp,Venue,Venue(Stadium),,Day,Weekend,Ticket Price,Attendance,Revenue,First Time%,First Time Fans,Repeat Fans,Home goal,Away goal,Away Team,Poss,Result,Opponent Tier,Captain,Referee
3/23/2025,19:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Sunday,1,35,9718,340130,65%,6316.7,3401.3,0,2,Orlando Pride,54,L,Tier 2,Tierna Davidson,Brad Jensen
4/13/2025,16:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Sunday,1,35,7115,249025,65%,4624.75,2490.25,3,1,North Carolina Courage,51,W,Tier 2,Mandy Freeman,Joshua Encarnación
5/4/2025,13:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Sunday,1,35,7330,256550,65%,4764.5,2565.5,0,0,Chicago Stars,58,D,Tier 2,Nealy Marti,Adorae Monroy
5/16/2025,19:30,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Friday,0,28,7819,218932,65%,5082.35,2736.65,0,1,San Diego Wave,38,L,Tier 1,Mandy Freeman,Thomas Snyder
6/7/2025,13:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Saturday,1,35,10399,363965,50%,5199.5,5199.5,1,2,Kansas City Current,62,L,Tier 2,Mandy Freeman,Danielle Chesky
6/21/2025,19:30,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Saturday,1,35,9009,315315,50%,4504.5,4504.5,2,1,Bay FC,52,W,Tier 2,Mandy Freeman,Shawn Tehini
8/9/2025,12:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Saturday,1,35,13860,485100,50%,6930,6930,0,0,Washington Spirit,41,D,Tier 2,Mandy Freeman,Jaclyn Metz
8/17/2025,16:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Sunday,1,35,7519,263165,50%,3759.5,3759.5,1,2,Houston Dash,58,L,Tier 2,Mandy Freeman,Elijio Arreguim
8/23/2025,19:30,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Saturday,1,35,4446,155610,50%,2223,2223,0,0,Royals,51,D,Tier 2,Mandy Freeman,Matthew Thompson
9/7/2025,17:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Sunday,1,35,8890,311150,35%,3111.5,5778.5,3,1,Angel City FC,59,W,Tier 1,Jess Carter,Greg Dpka
9/26/2025,20:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Friday,0,28,8522,238616,35%,2982.7,5539.3,3,0,Portland Thorns,51,W,Tier 1,Mandy Freeman,Alyssa Nichols
10/5/2025,16:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Sunday,1,35,9752,341320,35%,3413.2,6338.8,0,0,Reign,64,D,Tier 2,Mandy Freeman,Elvis Osmanovic
10/19/2025,15:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Sunday,1,35,11219,392665,35%,3926.65,7292.35,2,2,Racing Louisville,66,D,Tier 2,Rose Lavelle,Alex Billeter
3/21/2026,18:30,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Sunday,1,35,10796,377860,65%,7017.4,3778.6,0,0,North Carolina Courage,59,D,Tier 2,Rose Lavelle,Cristian Campo Hernández
3/25/2026,19:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Wed,0,28,5000,140000,65%,3250,1750,0,2,Denver Summit,50,L,Tier 2,Jess Carter,Muhammad Hassan
3/29/2026,19:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Sunday,1,35,6009,210315,65%,3905.85,2103.15,0,0,Orlando Pride,61,D,Tier 2,Rose Lavelle,Nabil Bensalah
4/25/2026,13:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Saturday,1,35,7184,251440,65%,4669.6,2514.4,3,0,Bay FC,59,W,Tier 2,Tierna Davidson,Natalie Simon
5/3/2026,17:00,Regular Season,NWSL,Home,"Sports Illustrated Stadium, ","Harrison, NJ",Sunday,1,35,6193,216755,65%,4025.45,2167.55,1,0,Racing Louisville,62,W,Tier 2,Tierna Davidson,John Griggs
